JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,,
BOM name：bom-JLCPCB Assembly Order.xlsx,,,Download Time：2025-11-10 18:25:51,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：6.0275,,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part #,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($),Running cost
L1,,1uH,402,,Select by System,MLZ1005M1R0WT000,TDK,402,100mA 170MHz 1uH 350mΩ 450mA Multilayer Inductor ±20% 0402 Inductors (SMD) ROHS,Inductors (SMD),,C531288,https://jlcpcb.com/partdetail/TDK-MLZ1005M1R0WT000/C531288,Extended,6,6 JLCPCB,0.3312,0.9418
"Q1,Q2",,SS8050-G,TRANS_SS8050-G,,Select by System,SS8050-G,Comchip,SOT-23,"1 NPN 1.5A 100@10mA,1V 100MHz 100nA 25V 300mW 400mV@50mA,5mA 5V NPN SOT-23 Bipolar (BJT) ROHS",Bipolar (BJT),,C3199946,https://jlcpcb.com/partdetail/Comchip-SS8050G/C3199946,Extended,5,5 JLCPCB,0.3075,1.2493
R2,,120k,603,,Select by Customer,0603WAF1203T5E,UNI-ROYAL(Uniroyal Elec),603,-55℃~+155℃ 100mW 120kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF1203T5E) of this part does not match the one (120k) provided in your BOM. Please confirm;,C25808,https://jlcpcb.com/partdetail/26551-0603WAF1203T5E/C25808,Basic,2,2 JLCPCB,0.0022,1.2515
R3,,1M,603,,Select by Customer,0603WAF1004T5E,UNI-ROYAL(Uniroyal Elec),603,-55℃~+155℃ 100mW 1MΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0603WAF1004T5E) of this part does not match the one (1M) provided in your BOM. Please confirm;,C22935,https://jlcpcb.com/partdetail/23662-0603WAF1004T5E/C22935,Basic,2,2 JLCPCB,0.0022,1.2537
R5,,1.18K,402,,Select by Customer,0402WGF1181TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 1.18kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1181TCE) of this part does not match the one (1.18K) provided in your BOM. Please confirm;,C270651,https://jlcpcb.com/partdetail/260031-0402WGF1181TCE/C270651,Extended,20,20 JLCPCB,0.008,1.2617
R6,,1.13K,402,,Select by Customer,0402WGF1131TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 1.13kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1131TCE) of this part does not match the one (1.13K) provided in your BOM. Please confirm;,C67014,https://jlcpcb.com/partdetail/68102-0402WGF1131TCE/C67014,Extended,20,20 JLCPCB,0.012,1.2737
"R7,R8",,1.5K,402,,Select by Customer,0402WGF1501TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 1.5kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1501TCE) of this part does not match the one (1.5K) provided in your BOM. Please confirm;,C25867,https://jlcpcb.com/partdetail/26610-0402WGF1501TCE/C25867,Basic,4,4 JLCPCB,0.0024,1.2761
"R10,R11,R12,R13,R14,R4,R9",,10K,402,,Select by Customer,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),402,-55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0402WGF1002TCE) of this part does not match the one (10K) provided in your BOM. Please confirm;,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,Basic,14,14 JLCPCB,0.0084,1.2845
U1,,BQ24072RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,,Select by Customer,BQ24072RGTR,Texas Instruments,QFN-16-EP(3x3),-40℃~+125℃ 1 1.5A 1.5mA 4.2V 4.35V~6.6V Charging IC Lithium Battery Support QFN-16-EP(3x3) Battery Management ROHS,Battery Management,1.The comment (BQ24072RGTR) of this part does not match the one (BQ24072RGT) provided in your BOM. Please confirm;,C140288,https://jlcpcb.com/partdetail/TexasInstruments-BQ24072RGTR/C140288,Extended,2,2 JLCPCB,1.878,3.1625
U3,,TPS63060,Texas_S-PWSON-N10_ThermalVias,,Select by Customer,TPS63060DSCR,Texas Instruments,WSON-10-EP(3x3),-40℃~+85℃@(TA) 1 2.4MHz 2.5V~12V 2.5V~8V 2A 30uA Adjustable Buck-Boost Buck-Boost Built-In Yes WSON-10-EP(3x3) DC-DC Converters ROHS,DC-DC Converters,1.The comment (TPS63060DSCR) of this part does not match the one (TPS63060) provided in your BOM. Please confirm;,C48567,https://jlcpcb.com/partdetail/TexasInstruments-TPS63060DSCR/C48567,Extended,2,2 JLCPCB,1.698,4.8605
U4,,CH340C,SOIC127P600X180-16N,,Select by System,CH340C,WCH(Jiangsu Qin Heng),SOP-16,SOP-16 USB Converters ROHS,USB Converters,,C7464026,https://jlcpcb.com/partdetail/WCH_Jiangsu_Qin_Heng-CH340C/C7464026,Extended,2,2 JLCPCB,1.167,6.0275
,,,,,,,,,,,,,,,,,,6.0275
